ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
501	Sensi	1248	EYE	ítso
502	Sensi	1247	EAR	helīxi
503	Sensi	1256	HEAD	oma'tsi
504	Sensi	1277	HAND	epīpi
505	Sensi	948	WATER	enipáxa
506	Sensi	221	FIRE	tši
507	Sensi	1343	SUN	varīxi
508	Sensi	1313	MOON	puönĕ
509	Sensi	1228	EARTH (SOIL)	ku̯áhi
510	Sensi	857	STONE	mátsi
511	Sensi	1252	HOUSE	puôxê
512	Sensi	3653	COOKING POT	tšapuöxe
513	Sensi	1200	HUSBAND	mankõ
514	Sensi	962	WOMAN	tšinán
515	Sensi	1250	JAGUAR	ináwa
516	Sensi	925	CASSAVA	óma
517	Sensi	506	MAIZE	šinki
518	Sensi	1493	ONE	nawwištikoe
519	Sensi	1498	TWO	rawué
520	Sensi	492	THREE	narawuekoe
521	Sensi	1335	WHITE	hõxõ
522	Sensi	163	BLACK	tšõxö
523	Sensi	156	RED	õzé
524	Sensi	1035	GOOD	iro
525	Sensi	1292	BAD	mitšĕ
526	Sensi	1585	SLEEP	uxe
527	Sensi	1417	KILL	tetĕ
528	Sapibokona	948	WATER	eubi
529	Sapibokona	811	SOUL	einisu
530	Sapibokona	619	ANIMAL	niu
531	Sapibokona	1226	YEAR	mara
532	Sapibokona	1335	WHITE	pazamè
533	Sapibokona	674	MOUTH	ecuacha
534	Sapibokona	1673	ARM	ebbai
535	Sapibokona	2648	HAIR (HEAD)	echau
536	Sapibokona	1256	HEAD	echuja
537	Sapibokona	679	BRIGHT	cuareme
538	Sapibokona	1732	SKY	eucuepana
539	Sapibokona	1540	EYELASH	ejatisa
540	Sapibokona	1333	NECK	etippi
541	Sapibokona	1480	BODY	ecuita
542	Sapibokona	471	UPPER LEG (THIGH)	echuju
543	Sapibokona	1223	HEART	mauzumu
544	Sapibokona	1973	DEMON	isaba
545	Sapibokona	1380	TOOTH	echee
546	Sapibokona	1303	FINGER	emèe
547	Sapibokona	717	SWEET	vitame
548	Sapibokona	962	WOMAN	anu
549	Sapibokona	1560	FACE	ebbù
550	Sapibokona	123	FOREHEAD	emata
551	Sapibokona	1654	LIGHTNING	ilapa
552	Sapibokona	221	FIRE	cuati
553	Sapibokona	1297	LEG	etaa
554	Sapibokona	1225	DAY (NOT NIGHT)	chine
555	Sapibokona	1346	THROAT	etippi
556	Sapibokona	478	LIP	ecuachacubbi
557	Sapibokona	624	LAKE	eubihûre
558	Sapibokona	1205	TONGUE	eana
559	Sapibokona	1313	MOON	bari
560	Sapibokona	1216	MOTHER	cùa
561	Sapibokona	1277	HAND	emè
562	Sapibokona	942	HONEY	uvazaema
563	Sapibokona	1221	NOSE	evi
564	Sapibokona	163	BLACK	eihêru
565	Sapibokona	1233	NIGHT	maetahe
566	Sapibokona	1248	EYE	etua chûru
567	Sapibokona	42	STINKING	guanipuime
568	Sapibokona	706	DARK	appume
569	Sapibokona	1217	FATHER	tata
570	Sapibokona	1217	FATHER	checua
571	Sapibokona	227	FISH	sisi
572	Sapibokona	1592	CHEST	echerù
