DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Tacana	8	CURSE	curse	maldecir	
Tacana	1339	MORNING	morning	mañana	
Tacana	806	BLANKET	blanket	manta	
Tacana	3208	CENTER OR MIDDLE	center or middle	medio, centro	
Tacana	1730	CHEEK	cheek	mejilla	
Tacana	2324	GET WET	get wet	mojarse	
Tacana	2409	BROWN	brown	moreno	
Tacana	1666	MUTE	mute	mudo	
Tacana	1646	GIRL	girl	niña	
Tacana	1366	BOY	boy	niño (chico)	
Tacana	11	DARKNESS	darkness	oscuridad, tinieblas	
Tacana	706	DARK	dark	oscuro	
Tacana	593	POTATO	potato	papa	
Tacana	882	PARROT	parrot	papagayo	
Tacana	2390	PECCARY	peccary	pecarí	
Tacana	1592	CHEST	chest	pecho	
Tacana	1159	FART	fart	pedo	
Tacana	275	PEEL	peel	pelar	
Tacana	580	FUR	fur	pellejo	
Tacana	1660	LOSE	lose	perder	
Tacana	683	PERSON	person	persona, ser humano	
Tacana	1913	PRESS	press	presionar	
Tacana	1011	BRIDGE	bridge	puente	
Tacana	232	FLEA	flea	pulga	
Tacana	688	LUNG	lung	pulmón	
Tacana	503	FROG	frog	rana	
Tacana	1654	LIGHTNING	lightning	relámpago	
Tacana	379	BLUNT	blunt	romo, embotado	
Tacana	1735	TEAR (SHRED)	tear (shred)	romper, rasgar	
Tacana	3020	BREAK (BREAKING)	break (breaking)	romperse, quebrarse	
Tacana	1416	SIT	sit	sentado	
Tacana	730	SNAKE	snake	serpiente	
Tacana	641	MUSHROOM	mushroom	seta	
Tacana	2319	LID (COVER, CAP)	lid (cover, cap)	tapa	
Tacana	1629	EVENING	evening	tarde	
Tacana	1616	CLOTH	cloth	tela	
Tacana	52	SHIVER	shiver	temblar	
Tacana	773	HAVE	have	tener	
Tacana	1448	HOLD	hold	tener (en mano), apoyar	
Tacana	162	HICCOUGH	hiccough	tener hipo	
Tacana	2252	PATH	path	trocha	
Tacana	1150	THUNDER	thunder	trueno	
Tacana	1743	JOIN	join	unirse	
Tacana	1624	EMPTY	empty	vacío	
Tacana	1836	VAGINA	vagina	vagina	
Tacana	1936	DEER	deer	venado, matacán	
Tacana	1342	SUMMER	summer	verano	
Tacana	1577	AND	and	y	
Tacana	1509	MOSQUITO	mosquito	zancudo	
