ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1562	Araona_IDS	1376	NOW	bedada
1563	Araona_IDS	1631	FAST	abec̷o
1564	Araona_IDS	1631	FAST	aleo
1565	Araona_IDS	1766	FINISH	mic̷ičana
1566	Araona_IDS	1766	FINISH	poeti
1567	Araona_IDS	1225	DAY (NOT NIGHT)	c̷eiɲe
1568	Araona_IDS	1233	NIGHT	sisa
1569	Araona_IDS	729	DAWN	-wena
1570	Araona_IDS	729	DAWN	maheheti
1571	Araona_IDS	1339	MORNING	sisa-ewe
1572	Araona_IDS	1339	MORNING	weno sisa-ewe
1573	Araona_IDS	1629	EVENING	apo-na
1574	Araona_IDS	1329	TOMORROW	-wena
1575	Araona_IDS	1329	TOMORROW	weno
1576	Araona_IDS	1174	YESTERDAY	we-c̷eiɲe-o
1577	Araona_IDS	1226	YEAR	mala
1578	Araona_IDS	1587	SMELL (STINK)	hebe
1579	Araona_IDS	42	STINKING	awani
1580	Araona_IDS	717	SWEET	abiča
1581	Araona_IDS	887	BITTER	apac̷e
1582	Araona_IDS	1906	SOUR	apoze
1583	Araona_IDS	1408	HEAR	c̷abaha
1584	Araona_IDS	1409	SEE	ba
1585	Araona_IDS	1819	LOOK	ba
1586	Araona_IDS	1819	LOOK	kʷasi
1587	Araona_IDS	679	BRIGHT	ašolili
1588	Araona_IDS	679	BRIGHT	azeza
1589	Araona_IDS	706	DARK	apopa
1590	Araona_IDS	706	DARK	a-sewe
1591	Araona_IDS	1335	WHITE	amae
1592	Araona_IDS	1335	WHITE	apaha
1593	Araona_IDS	163	BLACK	sewa
1594	Araona_IDS	156	RED	asele
1595	Araona_IDS	837	BLUE	azeza
1596	Araona_IDS	1425	GREEN	sawa-lili
1597	Araona_IDS	1425	GREEN	a-sawa-lili
1598	Araona_IDS	1424	YELLOW	a-hawa
1599	Araona_IDS	1892	TOUCH	ic̷oba
1600	Araona_IDS	1892	TOUCH	poli
1601	Araona_IDS	1892	TOUCH	zabobo-a
1602	Araona_IDS	378	PINCH	noli
1603	Araona_IDS	1884	HARD	tepe-tepe
1604	Araona_IDS	1856	SOFT	pena-pena
1605	Araona_IDS	1856	SOFT	semihi
1606	Araona_IDS	1923	ROUGH	zaka-zaka
1607	Araona_IDS	1234	SMOOTH	pena-pena
1608	Araona_IDS	1234	SMOOTH	semihi
1609	Araona_IDS	1396	SHARP	akʷeo
1610	Araona_IDS	1210	HEAVY	a-bikʷe
1611	Araona_IDS	1052	LIGHT (WEIGHT)	c̷ala
1612	Araona_IDS	1726	WET	anaha
1613	Araona_IDS	1398	DRY	azaha
1614	Araona_IDS	1398	DRY	kʷibi
1615	Araona_IDS	1286	HOT	a-ašo
1616	Araona_IDS	1286	HOT	ašoda
1618	Araona_IDS	1287	COLD	aboa
1619	Araona_IDS	704	CLEAN	awiši
1620	Araona_IDS	1230	DIRTY	azalo
1621	Araona_IDS	1230	DIRTY	boso
1622	Araona_IDS	380	WRINKLED	a-c̷ikʷi-c̷ikʷi
1623	Araona_IDS	811	SOUL	nime
1624	Araona_IDS	1355	LAUGH	izibati
1625	Araona_IDS	1413	PLAY	topa
1626	Araona_IDS	1413	PLAY	ha-topa-ti
